condition_label,severity,urgency,remedy_text,recommended_specialist,confidence_threshold
hemorrhoids,none,consult,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.85
polyp,none,emergency,Small polyp detected — schedule surveillance colonoscopy and biopsy if grows,Gastroenterology,0.83
ulcer,moderate,emergency,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.68
ischemia,mild,emergency,Mild ischemic changes — initiate antiplatelet therapy,Cardiology,0.75
obstruction,moderate,consult,Moderate obstruction — endoscopic stent placement advised,Surgery,0.76
ulcer,none,emergency,Severe ulceration — admit patient for surgical management,Gastroenterology,0.77
obstruction,mild,emergency,Moderate obstruction — endoscopic stent placement advised,Surgery,0.89
normal,none,monitor,Normal examination — no intervention required,PrimaryCare,0.77
hemorrhoids,severe,monitor,Small hemorrhoids detected — recommend topical treatment and lifestyle modification,Colorectal,0.88
obstruction,none,monitor,Moderate obstruction — endoscopic stent placement advised,Surgery,0.64
obstruction,severe,consult,Moderate obstruction — endoscopic stent placement advised,Surgery,0.89
diverticulosis,mild,monitor,Complicated diverticulosis — surgical consult advised,Gastroenterology,0.69
bleeding,none,consult,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.75
normal,none,monitor,Normal examination — no intervention required,PrimaryCare,0.61
ischemia,mild,emergency,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.62
ulcer,severe,monitor,Mild ulcer detected — prescribe proton pump inhibitors and monitor healing,Gastroenterology,0.8
normal,none,monitor,No abnormality detected — routine follow-up as per standard care,PrimaryCare,0.89
perforation,severe,consult,Severe perforation — emergency laparotomy required,Surgery,0.83
polyp,severe,emergency,Multiple polyps observed — recommend colon resection in consultation with GI surgeon,Gastroenterology,0.61
obstruction,moderate,monitor,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.86
ulcer,moderate,emergency,Mild ulcer detected — prescribe proton pump inhibitors and monitor healing,Gastroenterology,0.76
hemorrhoids,severe,consult,Small hemorrhoids detected — recommend topical treatment and lifestyle modification,Colorectal,0.68
bleeding,severe,monitor,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.72
polyp,moderate,consult,Multiple polyps observed — recommend colon resection in consultation with GI surgeon,Gastroenterology,0.89
ulcer,severe,consult,Severe ulceration — admit patient for surgical management,Gastroenterology,0.71
normal,none,monitor,Normal examination — no intervention required,PrimaryCare,0.83
perforation,mild,monitor,Moderate perforation — initiate antibiotics and surgical consult,Surgery,0.64
bleeding,mild,monitor,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.83
obstruction,mild,consult,Complete obstruction — surgical emergency,Surgery,0.62
bleeding,severe,emergency,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.7
stricture,mild,emergency,Severe stricture — surgical resection necessary,Surgery,0.76
erosion,none,consult,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.71
infection,moderate,monitor,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.76
obstruction,severe,emergency,Complete obstruction — surgical emergency,Surgery,0.9
diverticulosis,severe,monitor,Symptomatic diverticulosis — consult GI for potential intervention,Gastroenterology,0.69
ulcer,moderate,monitor,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.7
infection,moderate,emergency,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.81
polyp,moderate,consult,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.84
erosion,moderate,consult,Minor erosion detected — recommend antacids and dietary adjustments,Gastroenterology,0.7
stricture,mild,consult,Moderate stricture — endoscopic stent placement recommended,Surgery,0.66
normal,none,monitor,Healthy mucosa — continue preventive care,PrimaryCare,0.67
polyp,mild,emergency,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.61
obstruction,none,consult,Partial obstruction detected — recommend dietary modification and monitoring,Surgery,0.77
polyp,severe,emergency,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.61
bleeding,mild,monitor,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.8
erosion,none,monitor,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.8
diverticulosis,none,monitor,Symptomatic diverticulosis — consult GI for potential intervention,Gastroenterology,0.73
erosion,none,consult,Minor erosion detected — recommend antacids and dietary adjustments,Gastroenterology,0.69
stricture,mild,emergency,Moderate stricture — endoscopic stent placement recommended,Surgery,0.89
bleeding,severe,consult,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.74
inflammation,moderate,emergency,Severe colitis — consider hospitalization and IV therapy,Gastroenterology,0.61
infection,none,emergency,Confirmed infection — initiate targeted antimicrobial therapy,InfectiousDisease,0.7
erosion,mild,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.86
bleeding,moderate,monitor,Minor bleeding detected — monitor closely and review hemoglobin levels,Surgery,0.88
normal,none,monitor,Healthy mucosa — continue preventive care,PrimaryCare,0.74
diverticulosis,none,monitor,Complicated diverticulosis — surgical consult advised,Gastroenterology,0.82
polyp,moderate,monitor,Multiple polyps observed — recommend colon resection in consultation with GI surgeon,Gastroenterology,0.77
cancer,mild,monitor,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.64
ischemia,severe,monitor,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.79
perforation,mild,emergency,Severe perforation — emergency laparotomy required,Surgery,0.62
ulcer,moderate,emergency,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.74
erosion,none,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.71
ischemia,severe,monitor,Mild ischemic changes — initiate antiplatelet therapy,Cardiology,0.63
cancer,mild,emergency,Advanced cancer stage — palliative care and oncology-led management,Oncology,0.75
cancer,severe,monitor,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.89
obstruction,none,emergency,Complete obstruction — surgical emergency,Surgery,0.64
stricture,severe,emergency,Benign stricture detected — recommend balloon dilation,Surgery,0.68
stricture,severe,emergency,Severe stricture — surgical resection necessary,Surgery,0.72
diverticulosis,severe,emergency,Symptomatic diverticulosis — consult GI for potential intervention,Gastroenterology,0.62
stricture,severe,consult,Severe stricture — surgical resection necessary,Surgery,0.73
obstruction,severe,consult,Moderate obstruction — endoscopic stent placement advised,Surgery,0.72
hemorrhoids,none,monitor,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.81
